"Biomass total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"3,681","4,145","4,246","4,383","4,728","4,863","5,035","4,671","4,705","4,893","5,029","5,287","5,079","4,871","4,922","4,894","5,224","6,106","5,920","5,986","2,723","3,046","2,875","3,348","3,917","3,967","2,259","2,923","3,103","9,188","8,169","7,954","8,753","7,067","9,659","8,941","8,774","4,308","2,233","2,168","2,069","3,445","3,540","3,494","3,783","1,197","1,249","1,426","1,447","2,770","2,888","3,299","2,298","3,660","6,494","7,532","9,183","7,805","8,233","7,671","7,344","7,193","8,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"45,681","46,171","45,959","45,764","46,341","47,641","49,102","49,050","52,920","53,345","52,378","54,068","58,735","59,084","58,463","57,615","62,883","66,705","66,560","67,874","141,033","150,242","153,364","164,722","175,397","176,696","160,935","155,656","161,022","166,994","145,304","144,773","151,327","176,217","215,932","223,971","208,971","182,204","209,467","210,694","203,782","166,334","163,686","156,371","186,726","178,417","194,853","188,449","177,209","151,859","181,015","193,453","194,992","213,553","203,628","192,277","194,490","198,078","196,234","193,303","187,253","196,321","194,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"37,433","36,290","36,441","36,729","36,860","35,134","35,169","33,309","33,739","34,698","34,264","34,682","36,857","37,551","36,739","35,870","41,325","51,062","52,002","45,832","52,390","55,336","55,633","60,540","63,217","62,928","61,844","61,608","63,792","86,235","71,100","71,732","76,481","85,912","82,506","82,964","87,771","86,884","81,960","82,147","83,466","66,837","72,972","80,406","75,933","81,477","84,758","89,239","79,760","89,205","102,074","105,562","103,550","106,124","105,604","95,155","93,771","93,338","94,607","92,421","73,288","71,013","72,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"4,013","3,837","3,672","4,028","4,089","3,695","3,679","4,180","4,147","4,389","4,339","4,526","4,782","4,574","4,783","5,414","5,816","6,838","7,129","8,291","17,835","21,469","21,635","23,644","25,139","25,558","24,043","17,521","18,365","15,620","13,741","14,585","15,095","13,871","14,181","16,652","14,706","16,421","12,302","12,492","13,376","10,389","9,319","9,573","9,704","25,335","25,421","29,420","36,719","29,481","30,114","29,754","27,209","27,187","33,300","35,324","37,641","37,887","40,027","40,777","34,315","36,314","37,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"82,098","83,506","86,898","93,022","98,436","97,488","100,673","101,885","110,274","116,253","116,839","119,221","127,646","130,122","134,723","127,489","144,760","151,984","160,261","168,373","115,610","133,092","127,114","148,644","165,871","167,092","129,117","157,927","169,036","235,903","222,587","219,221","226,570","193,993","195,852","181,972","175,098","158,854","146,909","155,665","164,105","164,137","171,500","205,815","228,444","226,206","220,116","225,983","230,785","238,181","290,502","299,705","296,354","343,657","349,289","344,128","349,331","357,940","357,008","405,383","395,720","462,289","498,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"6,479","6,563","6,420","6,571","6,816","6,569","6,982","7,223","7,434","7,811","8,364","8,914","10,032","10,310","9,433","9,050","10,276","12,471","15,473","16,485","10,749","14,131","14,794","16,171","17,189","18,581","20,649","13,486","14,630","12,050","11,777","13,316","12,891","13,325","12,746","13,929","16,342","17,123","15,850","15,625","16,364","13,734","12,544","13,788","14,174","12,834","15,042","19,828","24,008","27,202","30,793","33,469","32,766","36,671","37,476","41,947","44,114","44,075","44,606","47,807","39,539","40,228","44,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"12,842","13,169","12,825","13,339","13,886","13,541","13,612","13,964","14,931","15,262","15,837","16,109","17,127","17,225","18,039","17,102","19,886","19,608","22,669","24,583","41,088","40,241","37,604","44,222","37,171","37,629","31,652","27,231","30,997","31,371","28,711","30,415","34,934","35,325","35,727","42,323","49,675","46,243","44,668","45,009","45,279","26,652","24,833","26,849","37,870","23,826","29,631","31,798","30,039","35,628","38,576","36,656","34,711","37,487","39,085","40,970","41,534","38,479","37,908","37,386","33,371","35,091","31,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,123,105,105,105,88,88,88,88,105,105,105,105,105,105,123,123,140,158,193,210,"2,849","2,312","3,654","2,564","3,226","3,327","3,049","2,229","2,382","2,514","1,282","1,347","1,411","1,945","1,848","1,850","1,921","1,377","1,220","1,257","1,352",864,878,923,939,258,606,728,545,598,"1,038","1,048",832,900,999,"1,506","1,876","1,754","1,989","2,108","1,849","1,873","1,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"4,982","5,101","5,134","5,356","5,510","5,577","5,852","5,783","6,591","7,073","7,021","7,673","8,190","8,483","8,466","7,901","9,607","10,161","10,667","8,729","2,472","2,006","3,170","2,224","2,927","3,019","2,765","2,162","2,310","2,438","1,569","1,645","1,691","2,395","2,330","2,381","2,543","2,101","1,833","1,889","2,181","1,208","1,190","1,247","1,271","1,699","3,394","4,683","5,444","6,188","7,192","7,031","6,068","6,137","6,397","6,035","5,984","6,082","6,065","6,439","5,491","5,787","5,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"32,690","31,611","33,321","35,838","35,983","36,798","39,739","41,567","47,044","48,627","47,974","47,318","51,917","53,820","49,804","47,568","53,819","57,416","62,995","66,926","87,819","81,817","102,795","92,271","110,474","111,939","116,654","106,526","112,284","205,324","170,933","183,237","200,092","185,167","182,190","186,456","206,119","197,033","171,827","171,638","164,155","127,398","144,188","157,615","149,032","157,664","162,048","169,327","210,030","239,189","253,868","251,217","248,455","260,909","256,189","251,294","247,498","256,365","249,308","235,145","209,534","218,140","215,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
