"Total energy expenditures in the commercial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,39.0,42.3,52.2,49.4,65.2,66.6,69.8,92.4,95.5,82.8,99.3,130.7,164.5,195.3,272.3,274.0,431.6,409.6,266.9,277.3,327.2,334.1,353.7,367.5,360.7,344.3,384.9,357.5,368.8,380.4,380.1,460.9,385.7,388.0,462.2,519.4,606.4,645.8,799.1,731.5,829.0,936.0,898.6,857.2,884.2,895.1,782.9,860.6,875.8,872.8,824.2,925.7,"1,028.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,135.4,148.7,167.7,196.2,240.6,270.1,311.6,391.7,401.1,484.3,560.5,751.2,821.2,881.7,853.9,818.4,824.8,835.8,864.9,952.2,984.2,"1,004.8",986.3,"1,035.0","1,059.4","1,070.1","1,142.6","1,365.1","1,416.5","1,489.2","1,607.2","1,656.6","1,659.7","1,744.7","1,909.6","2,059.4","2,386.9","2,523.6","2,836.8","2,693.6","2,876.3","2,882.7","2,794.9","2,841.2","2,940.1","2,990.6","3,060.0","3,107.0","3,189.6","3,159.5","2,888.0","3,154.9","3,757.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,88.4,90.9,101.3,112.5,143.3,187.0,220.6,274.9,289.1,321.3,373.3,340.0,418.2,579.2,546.8,544.3,529.4,525.6,556.3,584.6,608.3,619.1,613.0,664.8,658.3,661.5,710.1,733.6,688.7,711.8,788.7,921.2,848.2,882.3,943.8,"1,114.8","1,188.4","1,183.3","1,385.9","1,375.1","1,363.0","1,398.8","1,357.8","1,408.8","1,482.4","1,533.4","1,422.1","1,519.2","1,529.8","1,606.5","1,452.2","1,736.4","2,131.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,108.2,125.6,152.3,177.1,222.2,297.5,353.2,433.3,474.2,551.3,630.0,685.7,813.2,848.8,974.1,"1,110.9","1,156.6","1,197.9","1,274.2","1,347.0","1,437.3","1,449.3","1,533.5","1,562.4","1,595.4","1,603.1","1,679.3","1,720.6","1,806.9","1,863.5","1,982.3","2,053.4","2,074.1","2,102.0","2,230.1","2,410.9","2,763.5","3,035.9","3,343.3","3,240.4","3,256.9","3,356.1","3,339.9","3,443.1","3,466.7","3,683.0","3,650.6","3,711.2","3,794.9","3,624.2","3,454.6","3,832.0","4,408.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,908.0,"1,031.7","1,169.6","1,316.5","1,647.3","2,168.9","2,478.3","3,144.8","3,441.8","3,752.3","5,391.0","6,281.0","6,744.3","6,365.6","7,136.6","7,573.6","7,479.3","7,690.8","8,088.7","8,799.3","9,707.2","10,157.1","10,386.1","10,314.8","10,782.9","10,746.1","10,115.9","10,784.5","11,065.2","10,532.4","11,973.6","15,149.6","15,753.8","15,806.3","16,179.3","16,891.7","18,537.9","18,848.1","19,371.3","18,514.6","18,698.1","18,989.9","18,936.5","19,360.4","21,577.6","22,269.4","21,157.9","22,423.2","23,169.3","23,585.6","22,743.7","26,242.0","32,184.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,134.0,147.9,164.4,183.8,215.0,258.6,268.7,311.6,369.6,463.0,594.5,734.0,956.5,"1,024.2","1,114.7","1,129.7","1,049.1","1,037.0","1,082.5","1,132.6","1,133.6","1,174.7","1,173.3","1,227.2","1,181.0","1,202.8","1,229.2","1,231.5","1,281.4","1,346.1","1,467.2","1,654.0","1,503.2","1,728.5","1,878.1","2,202.4","2,191.6","2,169.7","2,510.6","2,282.5","2,396.2","2,547.8","2,433.9","2,568.8","2,673.9","2,660.1","2,538.4","2,688.2","2,775.5","2,941.0","2,656.2","3,065.8","3,630.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,170.6,193.9,227.3,262.1,367.6,400.5,435.5,472.5,496.8,636.5,734.7,942.4,"1,037.8","1,107.7","1,200.8","1,215.9","1,119.0","1,132.9","1,164.1","1,310.5","1,363.9","1,427.2","1,530.0","1,538.4","1,591.7","1,597.0","1,684.7","1,712.9","1,660.5","1,661.7","1,716.4","1,758.3","1,733.5","2,077.8","2,016.5","2,413.6","2,688.7","3,124.8","3,307.1","2,905.7","2,907.6","2,846.4","2,583.1","2,701.3","2,884.4","2,870.4","2,687.3","2,725.7","2,948.5","2,880.8","2,540.2","2,889.8","3,405.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,82.6,92.7,94.8,104.9,138.7,153.5,160.0,178.1,195.3,205.4,242.8,270.0,323.8,386.5,472.3,465.2,461.3,439.1,425.0,429.3,442.5,470.2,486.3,524.5,719.2,727.4,756.3,763.0,760.2,771.3,853.5,893.3,878.4,887.4,946.7,"1,139.0","1,299.3","1,442.7","1,508.4","1,466.2","1,511.5","1,422.0","1,239.6","1,232.9","1,270.1","1,193.9","1,150.1","1,122.2","1,178.6","1,173.0",979.1,"1,127.4","1,403.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,34.7,40.8,48.1,57.1,78.1,91.3,98.2,124.7,125.3,167.4,262.4,227.8,193.8,172.3,179.2,182.8,169.4,175.8,194.5,198.6,212.2,222.7,223.0,245.7,248.2,258.5,278.9,299.2,295.9,320.9,315.6,357.8,381.6,396.5,435.3,478.1,609.4,656.1,705.3,737.8,701.3,648.0,612.5,603.2,632.3,619.9,592.5,602.3,650.6,634.6,526.3,575.4,700.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,424.8,482.2,544.5,649.0,918.2,"1,052.2","1,154.4","1,308.4","1,400.5","1,650.1","1,966.2","2,637.8","2,544.2","2,772.1","3,228.8","3,755.4","3,599.7","3,633.9","3,845.9","3,994.6","4,283.8","4,375.0","4,287.4","4,459.4","4,381.6","4,577.3","4,856.4","4,997.3","5,078.6","5,083.7","5,556.7","6,434.1","6,257.8","6,920.5","7,700.4","8,563.6","10,318.2","10,335.1","10,900.9","10,976.4","10,205.6","10,316.3","10,061.2","9,962.3","10,502.6","10,587.9","9,999.6","10,427.7","10,548.6","10,559.5","9,550.0","10,700.5","13,141.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
