"Total energy consumption in the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"6,592","6,976","7,129","9,246","12,021","14,210","15,066","17,018","18,316","25,989","28,705","31,762","36,289","33,124","34,856","32,959","33,710","36,678","37,081","35,123","32,854","36,536","46,028","49,306","61,051","55,609","95,073","86,044","49,560","50,130","57,482","56,909","59,008","60,012","61,142","61,712","66,173","64,360","65,886","68,465","66,776","62,031","55,830","53,845","59,006","58,006","63,939","59,337","61,038","57,997","62,668","66,951","65,188","58,557","58,600","62,402","54,019","53,712","52,207","52,114","53,058","56,415","55,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"53,463","61,026","67,369","73,550","77,567","77,062","80,697","80,030","90,700","100,346","104,587","106,981","114,157","117,343","119,155","114,160","118,290","122,796","120,916","123,247","120,278","137,009","135,738","139,201","126,261","133,517","135,950","139,710","149,408","160,778","158,669","155,364","153,440","157,551","160,410","165,013","178,579","213,223","219,459","232,322","243,953","233,910","240,358","235,720","246,269","249,452","260,306","271,789","264,633","243,888","261,483","248,475","237,919","243,962","252,918","253,876","255,584","244,882","252,411","246,538","224,018","236,565","244,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"34,197","34,966","38,969","42,222","45,565","51,259","58,633","63,505","68,785","73,741","75,954","69,406","75,113","80,521","79,122","91,612","94,700","99,626","100,141","98,039","94,304","83,521","86,299","102,607","97,206","95,470","88,956","91,355","97,165","101,062","99,369","101,538","98,928","108,386","110,434","115,772","120,617","119,820","127,703","130,354","142,474","146,067","146,019","149,592","147,995","157,852","155,943","157,748","159,838","158,754","169,410","170,557","167,414","172,994","178,776","174,195","170,732","169,521","180,869","175,440","164,133","172,070","172,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"61,977","46,333","44,417","48,892","60,563","53,957","55,388","64,024","67,059","73,841","76,116","85,616","94,847","106,025","111,599","113,605","124,374","132,174","127,109","125,358","129,584","128,340","128,235","127,642","143,595","158,577","162,675","181,112","188,167","200,433","201,733","197,551","204,194","206,417","217,890","226,931","241,058","245,102","263,165","276,403","297,677","296,835","296,714","296,826","301,398","310,534","319,900","329,184","329,560","321,410","321,789","328,873","327,537","332,964","323,023","327,721","330,060","330,296","327,628","325,491","310,582","317,868","337,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"401,576","447,848","470,712","490,944","509,866","534,413","580,656","596,253","641,819","667,364","720,198","776,059","797,528","823,001","787,448","901,199","914,220","946,773","946,009","991,937","1,025,994","1,072,952","1,015,290","934,639","997,960","1,015,022","1,006,044","1,077,424","1,150,696","1,211,972","1,177,528","1,167,898","1,172,523","1,064,083","1,094,515","1,071,643","1,050,147","1,112,879","1,228,356","1,166,609","1,195,092","1,309,918","1,282,989","1,244,763","1,355,747","1,295,011","1,308,405","1,377,978","1,419,732","1,353,185","1,331,349","1,316,978","1,310,024","1,253,801","1,253,459","1,287,155","1,226,595","1,188,341","1,247,798","1,193,132","1,124,397","1,156,818","1,193,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"53,823","57,218","61,019","60,401","69,421","73,164","80,416","79,831","93,746","102,639","112,292","120,361","128,419","138,440","137,678","138,523","134,235","135,869","139,366","145,977","148,266","150,706","174,555","181,935","197,115","202,033","192,494","199,330","214,283","221,696","237,282","246,667","244,964","253,513","233,663","236,409","250,930","251,553","262,645","274,152","286,926","292,452","302,196","293,355","287,807","288,371","287,147","285,231","288,167","283,773","274,039","268,409","258,130","264,644","260,495","267,218","261,579","261,357","263,150","270,644","245,970","249,854","252,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"60,514","61,949","63,587","66,515","67,687","69,416","73,371","76,696","84,969","89,343","98,680","103,307","111,439","115,902","111,329","109,874","118,211","122,318","124,915","130,171","123,183","127,763","129,335","138,423","147,575","152,306","155,707","161,214","166,624","179,903","184,536","184,290","193,350","188,172","196,908","193,893","204,644","206,784","211,883","218,035","218,880","213,047","207,411","222,716","205,826","206,106","193,517","210,248","193,683","185,549","189,464","182,826","182,503","186,865","190,805","198,213","188,519","186,401","190,814","185,564","167,476","178,155","178,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"30,819","29,058","31,178","33,246","39,402","52,634","55,056","64,007","64,970","68,042","72,330","69,827","64,555","64,015","53,329","49,588","49,246","47,851","47,598","45,624","46,407","45,045","49,584","56,055","67,943","66,687","72,107","73,789","72,393","75,839","82,197","86,058","86,899","91,120","121,228","122,618","115,283","114,361","118,386","118,628","125,490","125,069","124,814","120,000","125,964","129,762","123,028","127,406","120,479","118,591","120,132","112,694","105,061","104,945","105,591","102,131","100,272","95,859","97,616","94,182","77,544","80,741","82,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"20,194","18,269","19,363","21,341","21,281","24,628","25,984","22,762","23,757","26,621","28,636","29,559","31,361","33,932","27,959","29,518","31,515","33,497","30,668","36,432","50,902","35,925","30,128","23,323","25,303","25,085","26,173","29,277","31,609","33,182","37,214","40,119","39,385","39,858","38,843","41,012","43,761","45,818","46,201","48,209","58,203","51,501","56,938","56,104","56,460","58,032","57,109","59,528","60,531","61,582","61,812","57,267","55,396","55,227","55,962","55,545","54,724","54,316","59,440","58,348","48,217","52,149","52,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"98,129","104,098","118,409","127,793","140,753","145,032","153,938","175,425","189,906","212,358","240,963","258,547","279,592","307,525","314,884","313,804","338,761","363,067","361,673","365,915","365,333","401,284","396,187","427,120","460,707","530,760","557,964","581,915","615,383","653,801","728,487","737,565","740,375","741,524","753,533","789,265","801,471","821,667","870,599","896,032","946,225","948,088","988,593","989,207","1,015,940","1,025,417","1,028,418","1,034,978","1,027,676","1,001,087","984,792","961,565","950,022","960,874","969,014","1,007,037","1,006,855","982,646","978,576","953,159","890,012","917,209","930,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
