"Hydropower total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,989,"1,015","1,036","1,110","1,100","1,193","1,079","1,238","1,241","1,163","1,237","1,240","1,182",977,"1,113","1,218","1,308","1,747","1,610","1,565","1,839","2,014","1,916","2,025","2,364","2,553","2,759","2,974","3,192","2,977","3,325","3,058","3,133","4,446","4,591","4,682","4,319","3,750","3,799","2,786","3,418","4,591","4,911","5,400","5,111","4,995","4,175","4,406","3,998","4,517","4,890","4,588","5,374","4,898","5,250","5,353","5,661","5,608","5,678","5,539","6,019","5,763","5,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"21,286","23,019","25,726","21,782","29,890","24,235","23,632","31,181","25,186","25,642","26,041","33,903","34,916","40,272","35,378","41,670","32,272","35,329","26,931","40,492","32,101","20,601","36,615","38,096","36,842","23,494","17,915","25,496","18,367","44,878","35,371","36,705","35,007","30,825","38,996","32,419","37,812","39,308","36,047","26,476","19,850","28,512","30,110","43,213","36,257","34,613","24,743","14,112","20,937","42,771","29,699","30,311","25,369","44,012","32,301","33,648","23,832","31,518","38,020","38,915","45,547","39,309","34,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"3,384","4,759","3,618","1,682","1,915","3,686","5,415","4,191","10,253","9,836","7,370","6,154","5,608","14,507","14,573","11,712","6,899","6,109","8,261","11,515","5,783","4,215","7,187","11,310","9,291","15,129","9,600","8,213","9,503","10,524","12,470","12,102","11,523","15,386","11,815","10,979","9,543","11,996","10,634","9,193","8,088","8,695","11,723","9,058","12,431","10,518","5,291","11,044","15,901","14,306","12,484","10,092","7,501","9,058","9,007","12,178","12,181","10,043","10,266","14,108","15,458","13,746","11,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"10,201","10,010","9,973","10,037","9,843","15,146","17,815","17,087","19,462","20,723","20,997","22,667","23,145","24,558","25,250","24,750","25,858","22,510","23,954","24,758","33,559","23,213","23,935","49,414","53,498","47,724","49,341","34,579","26,567","26,876","25,309","22,982","22,590","22,850","25,131","28,280","31,439","41,113","37,430","33,297","28,505","26,012","25,342","24,140","23,792","21,871","23,177","22,511","24,859","21,930","22,595","31,302","22,918","20,181","20,876","22,300","24,456","23,310","23,823","21,170","21,917","20,379","18,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"59,521","52,436","77,912","86,440","75,398","104,143","89,517","120,364","92,719","137,905","129,934","133,129","108,349","132,230","158,392","136,830","79,134","48,624","126,946","115,734","139,140","101,555","171,372","194,093","147,259","108,219","141,457","83,814","80,094","105,094","81,180","74,918","68,811","138,160","78,519","163,889","152,692","140,078","169,058","138,994","130,795","87,149","106,252","124,097","116,489","135,224","163,938","93,242","82,324","95,154","114,066","145,206","91,569","81,051","56,405","47,115","98,751","144,543","89,840","130,866","72,940","50,080","60,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"3,309","2,851","3,466","3,528","3,603","3,199","3,406","3,168","3,221","3,387","4,216","5,409","4,242","4,372","4,828","5,141","4,395","3,658","4,583","5,499","5,858","4,772","5,630","6,385","7,402","8,044","7,723","6,205","5,955","5,979","4,845","6,122","5,115","6,523","5,268","7,272","6,211","6,933","4,988","5,331","4,962","5,100","4,125","4,307","4,076","4,829","6,112","5,901","6,958","6,434","5,385","7,106","5,108","4,138","6,039","5,528","6,492","6,473","6,228","6,179","5,693","5,453","4,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"1,447","1,252","1,006",949,919,639,862,"1,344","1,223","1,450","1,124","1,334","1,836","1,525","1,461","1,684","1,308","1,470","1,226","1,574",873,887,"1,265","1,290","1,288",901,"1,273","1,172","1,127","1,507","1,947","1,479","1,446","1,415","1,642","1,241","2,136","1,524","1,530","1,440","1,796",977,"1,143","1,926","1,578","1,632","1,856","1,239","1,898","1,739","1,333","1,936","1,065","1,371","1,481","1,032",765,"1,133","1,895","1,460","1,112","1,629","1,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,10,19,20,14,16,11,8,8,5,1,3,4,4,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,948,899,810,903,989,"1,018",990,976,824,935,995,863,813,798,858,799,884,830,778,822,732,614,890,750,726,832,724,740,714,797,596,898,804,719,937,788,735,823,677,478,296,504,628,896,905,908,694,527,703,710,606,621,514,867,721,834,596,745,794,716,790,858,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
