"Total energy consumption in the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"16,472","21,444","24,859","25,598","25,522","22,874","33,619","35,332","36,296","51,183","50,729","53,265","63,913","62,906","59,470","82,004","90,081","117,265","140,107","138,547","136,331","104,650","218,296","229,535","230,543","214,989","211,305","233,511","275,633","302,777","306,147","339,790","365,433","355,720","349,568","412,453","428,644","402,138","412,651","393,602","400,347","408,116","409,411","400,734","387,948","416,229","352,071","354,704","315,931","332,663","324,998","329,624","337,068","332,217","328,162","328,991","327,757","331,033","331,478","333,599","362,064","386,800","429,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"494,344","458,933","481,546","489,262","541,272","594,851","622,706","659,626","698,956","750,145","769,298","738,097","792,033","796,124","789,293","770,789","778,107","814,087","809,508","889,463","870,328","832,700","731,210","684,593","768,440","746,724","705,633","747,202","801,416","783,985","762,066","772,671","833,437","869,494","929,432","971,326","975,851","934,894","940,098","972,962","978,320","833,655","841,950","855,029","922,250","912,008","920,116","908,318","865,795","693,508","761,494","791,115","824,770","831,320","846,668","809,939","803,662","813,582","829,542","804,102","757,521","809,562","774,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"199,804","195,489","211,260","225,754","249,261","248,229","250,704","269,407","277,492","299,301","310,734","307,325","317,025","364,499","349,208","304,441","345,868","368,179","360,602","383,611","369,266","368,731","329,131","323,522","322,537","324,600","297,067","258,695","320,447","367,293","341,477","321,656","363,372","387,573","409,255","439,398","444,281","458,090","458,164","457,829","469,550","440,731","447,699","437,795","426,905","423,291","437,513","433,350","411,202","357,610","403,739","416,212","401,382","407,322","408,043","371,094","375,115","392,153","406,022","393,734","368,906","381,292","378,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"48,052","78,566","93,789","101,617","96,179","114,321","127,237","114,096","123,599","137,812","149,358","152,281","171,901","183,733","190,410","169,532","182,147","201,234","199,646","223,280","189,053","223,004","183,088","181,179","190,041","187,042","189,451","163,152","178,672","186,447","180,254","184,132","198,463","191,465","202,644","220,914","226,325","228,762","224,771","225,946","217,561","206,781","197,776","192,187","218,525","214,966","220,537","216,154","227,388","192,665","203,234","217,213","213,622","207,217","227,951","226,569","230,097","221,978","219,663","218,053","215,241","214,393","219,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,162,133","1,179,001","1,185,762","1,296,408","1,419,002","1,433,964","1,515,730","1,561,036","1,649,754","1,718,699","1,794,982","1,783,805","1,836,866","1,939,286","1,869,200","1,828,629","1,885,080","1,962,977","1,846,653","1,979,052","1,816,026","1,617,798","1,476,158","1,552,909","1,808,977","1,806,103","1,715,515","1,875,575","1,818,142","1,864,330","1,841,844","1,884,571","1,903,670","1,802,686","1,854,882","1,772,262","1,806,339","1,942,112","1,960,839","1,984,425","1,991,971","2,011,063","1,877,339","1,847,872","1,923,879","1,856,848","1,819,106","1,830,417","1,784,350","1,649,909","1,666,931","1,693,007","1,675,908","1,801,119","1,778,942","1,769,064","1,746,623","1,708,736","1,739,402","1,690,633","1,605,664","1,597,453","1,539,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"169,448","187,555","178,910","178,520","182,866","183,415","174,301","190,040","212,762","212,335","215,738","203,634","228,725","241,627","235,516","228,804","243,740","255,596","246,888","251,137","245,427","213,463","175,343","160,643","178,600","166,932","176,320","174,935","192,741","200,267","210,426","230,139","234,307","250,475","275,044","271,839","285,307","279,255","306,997","279,991","309,713","375,954","353,569","368,878","373,885","383,745","391,499","399,973","402,894","404,982","446,024","407,680","407,984","400,631","415,542","424,884","381,190","386,822","402,951","402,899","388,972","372,958","372,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"165,765","164,233","175,097","176,083","197,097","189,344","216,806","214,873","207,697","204,362","198,998","176,909","181,818","196,389","177,791","164,813","190,780","193,920","203,179","174,212","175,853","144,191","142,775","134,916","143,543","145,773","139,839","145,808","145,230","132,726","131,686","135,243","136,969","134,150","131,578","131,729","131,859","127,857","120,249","121,223","124,047","113,548","107,056","121,018","115,780","117,828","110,811","106,839","80,441","86,763","88,337","85,637","83,158","87,869","85,573","78,124","78,647","78,089","76,697","74,356","70,959","65,115","68,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"32,543","31,834","30,901","29,099","31,880","41,352","48,958","51,180","47,599","56,845","60,935","57,942","52,445","51,670","40,833","39,639","39,492","43,012","40,399","41,241","39,907","39,186","36,937","37,221","25,453","27,012","27,612","28,447","29,674","31,497","35,800","36,235","35,867","36,129","3,830","3,655","3,335","3,608","3,532","4,022","3,823","4,362","4,357","4,633","4,386","3,913","3,722","4,061","3,510","7,020","7,158","6,652","6,843","6,980","7,064","6,776","5,641","5,499","5,401","4,762","4,652","5,758","5,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"65,131","61,220","71,124","76,466","77,471","83,794","87,933","83,518","92,095","99,211","98,322","98,154","102,423","110,557","100,428","89,198","92,582","90,723","93,702","102,740","92,084","70,269","67,894","77,675","87,798","83,874","83,247","82,011","84,399","86,963","101,586","90,320","102,694","104,657","105,360","106,471","104,228","104,895","104,141","108,518","112,374","112,545","112,537","108,858","94,668","97,363","91,627","90,066","89,393","58,010","49,752","84,068","91,457","89,806","86,531","88,192","87,542","83,081","84,286","84,118","83,709","84,236","80,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"219,500","232,734","255,247","265,312","276,849","300,196","318,849","306,325","325,869","331,871","355,222","369,912","380,780","419,844","385,965","384,700","434,531","481,749","499,233","542,619","551,256","484,948","413,035","421,458","454,806","457,997","436,392","434,358","475,275","531,683","530,983","523,561","547,714","576,945","581,780","597,099","613,047","584,562","575,060","580,631","559,085","558,883","530,065","543,458","528,991","534,392","550,653","524,362","516,826","465,514","500,684","476,791","472,676","478,208","465,600","490,489","491,108","490,198","482,134","479,615","459,263","487,522","477,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"254,662","258,733","284,934","298,329","325,615","366,608","397,515","410,930","430,968","445,468","449,452","466,507","506,439","549,004","523,601","480,246","501,576","510,883","550,453","600,556","578,554","561,728","535,156","565,908","618,259","661,518","619,448","644,045","672,705","738,693","777,837","768,314","781,180","792,789","815,804","872,909","908,368","923,243","892,471","900,749","905,977","838,864","925,110","874,674","911,019","878,525","875,696","848,797","772,243","700,748","751,741","745,480","718,355","743,031","772,291","770,544","761,868","748,866","757,367","753,197","699,943","734,141","738,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"20,545","26,737","28,634","29,784","31,648","34,030","35,097","38,008","38,353","40,347","42,943","43,014","48,651","49,316","49,231","49,786","51,127","52,776","52,539","58,541","74,008","73,065","78,892","65,467","64,411","66,751","76,304","79,034","88,225","93,342","98,380","88,496","93,169","91,383","92,326","91,605","94,125","87,341","79,291","76,809","76,669","68,421","70,038","67,947","67,987","71,433","70,418","67,558","64,365","67,714","66,665","65,823","63,131","63,205","62,066","61,672","60,471","57,984","54,099","54,115","44,791","46,572","47,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"216,998","214,730","218,468","230,750","248,360","259,028","250,620","272,595","279,969","290,082","302,033","292,083","305,230","343,914","337,557","313,264","342,387","340,276","323,397","367,906","369,311","370,763","342,753","328,993","340,028","329,465","352,437","365,176","396,828","356,229","368,845","386,022","400,716","428,391","451,055","463,958","473,741","470,007","486,508","511,722","507,440","479,109","483,039","470,651","524,679","544,319","561,897","612,170","659,262","675,535","715,149","718,314","689,442","717,858","723,456","733,087","742,859","803,409","831,545","823,635","749,598","764,672","771,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"81,491","89,529","92,231","94,607","105,728","109,911","111,550","124,032","138,133","133,935","138,621","140,118","149,595","148,747","152,921","140,676","137,933","132,727","139,652","136,672","128,003","141,101","126,636","127,731","121,596","122,446","118,905","126,330","134,330","153,746","136,570","141,108","149,698","141,794","152,823","153,694","162,804","158,611","168,119","169,729","177,016","163,072","147,158","148,427","166,107","165,242","155,931","164,091","162,300","140,589","155,741","140,777","146,339","149,211","147,614","147,247","140,292","137,274","138,823","137,865","139,101","144,811","148,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,096,636","1,096,729","1,120,348","1,144,869","1,214,651","1,281,844","1,320,572","1,340,781","1,388,353","1,442,025","1,447,530","1,403,919","1,466,887","1,541,334","1,503,332","1,386,381","1,421,280","1,442,484","1,453,836","1,468,544","1,372,229","1,218,504","1,077,979","1,122,412","1,177,333","1,172,718","1,199,695","1,261,288","1,313,985","1,181,212","1,238,875","1,255,597","1,275,674","1,274,300","1,319,315","1,330,969","1,339,927","1,349,486","1,322,058","1,318,789","1,249,767","1,190,200","1,176,102","1,201,877","1,253,104","1,238,730","1,202,673","1,217,450","1,219,337","1,094,147","1,213,875","1,215,052","1,210,319","1,219,673","1,233,278","1,165,328","1,167,724","1,161,053","1,161,680","1,155,720","1,114,316","1,108,257","1,108,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
