"Total energy expenditures in the industrial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,28.3,31.2,41.0,35.1,50.7,83.6,111.0,147.7,172.8,170.3,129.2,175.1,250.2,159.3,117.2,248.9,183.0,136.9,163.0,152.1,165.3,180.8,196.6,199.5,191.9,217.9,254.4,266.4,213.4,236.0,246.1,302.5,236.9,210.5,272.0,335.7,369.1,449.8,576.3,646.0,796.4,"1,156.4","1,282.5","1,232.0","1,201.3","1,010.7",773.9,637.5,616.2,604.8,549.0,827.3,"1,403.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,377.1,410.3,473.0,550.5,850.0,"1,037.1","1,161.8","1,457.3","1,549.7","1,949.7","2,043.6","2,296.3","2,230.4","2,116.8","2,334.7","2,201.8","1,948.5","1,956.8","2,036.5","2,136.8","2,193.9","2,228.0","2,305.3","2,419.4","2,425.4","2,506.7","2,690.9","2,537.8","2,482.6","2,597.8","2,908.5","2,893.6","2,826.3","3,212.2","3,721.7","4,514.2","4,800.2","4,786.9","5,565.6","3,723.1","4,231.9","4,722.5","4,808.9","4,801.5","4,983.3","4,241.2","4,003.4","4,262.5","4,447.3","4,183.9","3,638.4","4,612.3","6,044.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,155.7,167.0,193.6,245.6,348.6,367.1,488.7,610.6,613.1,757.0,938.5,"1,083.6","1,043.4","1,027.0","1,038.9","1,062.3",912.8,770.1,919.0,"1,065.0","1,047.4","1,018.5","1,134.8","1,200.5","1,203.9","1,231.4","1,363.3","1,459.0","1,353.1","1,419.1","1,784.7","1,870.3","1,727.4","1,864.3","2,047.2","2,497.4","2,770.6","2,820.4","3,460.1","2,125.2","2,519.6","2,871.2","2,685.0","2,975.9","2,975.6","2,349.0","2,202.5","2,416.7","2,601.9","2,557.5","2,262.3","2,862.5","3,592.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,115.6,125.9,145.9,181.8,263.8,305.0,344.9,429.9,475.0,600.4,653.7,771.8,733.5,786.9,812.8,792.5,746.8,713.8,777.1,793.7,822.9,841.4,932.2,972.8,991.0,"1,041.6","1,098.9","1,089.8","1,019.7","1,030.1","1,110.1","1,105.2","1,046.4","1,091.4","1,333.8","1,603.2","1,744.5","1,832.2","2,357.5","1,728.8","1,997.6","2,428.6","2,411.1","2,378.8","2,395.7","2,011.4","1,902.2","2,043.7","2,168.4","2,137.5","1,888.9","2,347.3","3,148.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,940.2,"1,025.3","1,123.9","1,339.0","1,930.1","2,319.1","2,737.9","3,422.9","3,632.6","4,637.9","6,105.0","6,438.2","6,779.4","6,541.8","7,853.9","8,194.4","6,759.6","7,154.9","6,892.1","7,366.7","7,784.0","7,877.3","7,860.6","7,041.5","7,518.7","7,739.6","7,610.0","8,514.7","7,871.3","7,977.8","10,336.3","11,989.0","10,066.9","11,659.7","12,873.7","14,369.5","14,343.9","14,137.9","15,907.1","11,861.1","12,872.6","14,577.9","13,716.5","15,748.1","16,542.2","14,492.0","13,727.7","14,465.1","15,417.9","15,413.2","14,355.4","17,270.2","21,492.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,123.9,135.4,152.7,180.3,276.0,314.5,380.3,434.7,467.3,553.1,748.7,716.9,618.4,610.6,688.8,632.3,607.6,565.7,635.7,635.2,655.7,685.6,711.3,739.2,835.7,861.5,934.4,905.5,930.9,845.6,"1,184.4","1,769.5","1,384.8","1,504.6","1,858.3","2,336.5","2,861.9","2,539.5","2,979.0","2,219.4","2,704.5","2,582.7","2,527.0","2,708.9","2,965.2","2,566.7","2,290.0","2,455.8","2,818.3","2,793.2","2,414.9","2,967.1","3,852.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,171.3,176.8,201.1,242.6,399.0,416.6,482.2,528.0,557.9,618.8,807.0,811.2,828.7,774.0,839.2,831.4,714.8,733.9,717.1,743.5,776.5,791.9,814.0,797.7,766.6,768.7,792.7,777.4,705.1,695.1,798.8,787.2,708.0,904.0,947.5,"1,215.5","1,357.3","1,396.2","1,215.1","1,107.5","1,198.8","1,214.9","1,099.6","1,113.5","1,125.1",901.7,841.2,879.2,955.9,912.4,816.2,732.0,"1,123.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,50.6,62.0,57.6,65.1,92.0,94.4,93.3,111.5,125.7,128.4,158.6,170.5,210.8,218.4,145.8,161.2,161.0,156.6,153.5,155.3,160.2,170.5,174.7,180.0,18.2,15.9,15.3,17.4,15.0,18.1,17.9,24.5,24.0,31.8,28.1,52.2,60.7,42.3,44.3,73.2,83.2,90.3,94.9,91.4,100.2,83.7,56.4,60.4,70.4,60.9,54.8,73.4,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,55.8,65.9,79.4,96.9,152.7,152.6,160.5,182.1,204.1,261.9,316.2,273.7,273.3,276.8,333.3,335.7,268.9,251.3,249.6,254.6,284.1,266.4,271.2,297.5,296.2,288.8,317.1,313.3,305.8,323.5,355.5,411.5,398.5,420.1,424.2,515.5,571.5,557.1,701.6,640.6,449.1,644.1,710.5,584.2,555.5,529.1,449.8,447.1,483.5,454.3,436.8,491.7,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,249.7,280.1,310.1,375.6,548.3,685.9,816.5,949.4,"1,047.4","1,424.9","2,004.4","2,115.2","1,812.6","1,843.7","2,083.8","2,064.6","1,695.2","1,624.9","1,675.8","1,780.4","1,836.8","1,770.6","1,772.8","1,992.6","1,951.7","2,084.6","2,264.2","2,171.6","2,044.1","2,163.9","2,498.3","2,737.5","2,422.8","2,794.4","3,047.7","3,774.8","4,559.2","4,325.1","5,036.2","3,960.0","4,439.8","4,512.1","4,244.4","4,182.8","4,305.8","4,045.5","3,655.8","3,963.8","4,218.3","4,079.6","3,507.7","4,413.4","5,985.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
