"Total energy expenditures in the residential sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,38.9,47.7,49.0,49.8,61.5,78.1,94.0,111.2,134.7,116.7,125.2,150.6,193.0,213.4,247.8,264.9,250.7,248.8,249.4,283.8,322.1,331.0,331.7,336.7,327.8,329.4,342.1,339.7,328.1,367.8,381.5,424.5,388.4,409.2,471.0,538.6,700.6,685.7,776.1,758.4,727.8,803.6,815.9,771.3,764.0,769.6,730.9,829.2,816.5,812.1,854.7,901.8,972.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,285.3,312.0,347.3,439.4,484.0,512.8,601.0,757.6,810.1,899.9,"1,115.3","1,219.4","1,392.8","1,477.8","1,587.6","1,467.8","1,558.1","1,670.6","1,694.6","1,722.9","1,786.3","1,867.8","1,851.2","2,021.2","2,029.7","2,085.7","2,240.5","2,212.4","2,379.2","2,433.0","2,711.3","2,761.3","2,784.1","2,867.8","3,048.2","3,308.9","3,703.0","3,885.1","4,278.4","4,224.3","4,723.9","4,418.2","4,082.4","4,238.5","4,544.9","4,330.8","4,362.6","4,341.4","4,720.0","4,690.6","4,516.6","4,728.0","5,369.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,193.1,202.6,224.0,277.0,299.0,377.2,442.4,558.5,555.4,560.9,737.4,658.7,798.1,931.6,898.9,917.9,969.7,987.4,"1,024.0","1,038.4","1,130.1","1,173.5","1,129.4","1,286.0","1,240.6","1,275.5","1,348.4","1,361.5","1,381.2","1,417.9","1,564.7","1,695.4","1,572.4","1,619.9","1,664.6","1,954.3","2,089.1","2,092.3","2,328.4","2,177.8","2,309.5","2,265.9","2,112.9","2,293.5","2,349.2","2,292.8","2,152.0","2,170.6","2,427.7","2,323.3","2,338.7","2,672.5","2,999.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,148.4,165.6,199.1,240.9,291.3,358.9,409.2,499.6,542.5,659.2,743.6,808.0,947.2,"1,049.8","1,121.2","1,252.2","1,282.0","1,400.7","1,517.3","1,580.4","1,651.3","1,708.3","1,813.5","1,862.6","1,967.9","1,903.1","2,026.6","2,122.1","2,240.0","2,295.7","2,511.6","2,640.1","2,689.7","2,792.3","2,982.9","3,287.6","3,743.3","4,110.8","4,312.8","4,289.8","4,318.1","4,444.5","4,384.1","4,574.4","4,574.3","4,724.3","4,747.4","4,908.4","5,140.2","5,060.6","5,428.2","5,447.2","5,941.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,401.4","1,616.7","1,762.4","1,931.7","2,320.4","2,675.0","2,880.4","3,079.9","3,391.2","3,985.8","5,119.4","5,487.1","6,607.0","6,848.3","7,043.7","7,788.7","7,215.4","7,851.7","8,687.4","9,361.7","10,015.1","10,765.1","10,772.8","11,093.0","11,505.6","11,347.1","11,427.5","11,908.9","12,080.7","12,110.4","13,267.5","14,947.6","13,702.5","15,159.2","15,849.5","17,222.0","19,467.8","19,439.7","20,062.8","18,790.4","19,007.0","19,433.3","19,130.4","20,268.1","20,075.6","20,438.2","20,919.6","22,639.4","22,862.3","23,630.1","26,538.1","28,795.1","32,779.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,187.1,201.3,228.3,276.8,292.9,332.8,376.2,417.7,477.2,555.4,689.3,886.3,"1,121.8","1,216.6","1,135.8","1,123.7","1,074.0","1,072.9","1,091.5","1,139.9","1,170.0","1,231.4","1,233.7","1,308.8","1,366.7","1,423.5","1,476.0","1,497.1","1,540.2","1,651.2","1,892.5","2,261.8","1,989.1","2,311.0","2,535.4","3,022.8","3,006.3","3,074.6","3,506.8","3,179.1","3,397.6","3,506.6","3,369.7","3,654.3","3,787.5","3,521.8","3,433.7","3,512.3","3,672.2","3,815.4","3,773.2","4,254.1","5,144.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,353.1,387.4,433.1,483.1,677.3,708.6,765.7,831.5,869.6,"1,188.7","1,362.7","1,692.7","1,763.0","1,662.1","1,773.0","1,759.9","1,716.7","1,727.1","1,888.2","2,060.0","2,094.8","2,114.3","2,267.7","2,268.1","2,286.1","2,230.6","2,408.6","2,363.0","2,166.8","2,292.6","2,648.7","2,654.0","2,556.1","3,149.1","3,448.8","4,093.5","4,367.7","4,935.0","5,256.9","4,798.4","4,813.4","4,740.3","4,617.1","4,840.0","5,148.1","4,737.7","4,089.6","4,321.5","4,932.6","4,795.0","4,613.8","4,955.5","5,979.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,54.2,55.3,58.6,64.8,77.2,88.7,97.2,105.5,119.5,127.8,164.3,166.9,191.4,219.4,259.0,252.0,243.5,233.5,230.4,228.6,210.4,224.3,236.3,266.7,258.1,263.5,302.7,286.3,257.8,265.3,312.7,310.3,319.2,363.3,380.5,443.1,393.3,454.2,484.0,467.5,508.9,443.4,413.9,444.1,472.9,507.2,433.5,460.8,501.5,486.6,444.7,508.9,576.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,65.6,71.3,81.4,90.3,115.7,135.1,149.7,171.6,181.1,245.3,247.5,243.2,260.6,279.5,343.6,342.5,301.2,319.5,342.9,353.2,351.8,371.9,371.3,409.7,420.4,423.2,456.1,459.8,448.6,476.1,490.4,512.3,547.6,601.6,629.6,716.1,795.7,895.3,942.7,946.1,"1,002.5",965.5,890.8,893.3,956.1,938.9,851.1,848.5,926.2,892.8,855.1,921.4,"1,069.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,614.2,677.9,772.9,959.6,"1,199.8","1,434.5","1,585.1","1,808.0","2,024.8","2,236.5","2,855.1","3,660.3","3,683.0","3,984.3","4,446.9","4,927.5","4,919.0","5,018.5","5,331.4","5,565.9","5,816.7","6,065.8","6,036.9","6,488.9","6,570.5","6,995.2","7,403.3","7,400.6","7,862.9","7,558.0","8,069.0","9,118.3","9,180.9","10,056.3","10,593.1","11,696.6","13,845.2","13,770.2","13,889.8","14,950.0","14,711.2","14,040.8","13,330.3","13,320.7","14,483.7","14,707.5","14,061.4","14,666.2","15,132.9","15,480.5","15,612.5","16,225.3","19,424.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
