"Total energy expenditures, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,187.9,216.9,244.8,248.9,373.6,471.7,573.4,688.1,768.4,799.3,"1,009.6","1,341.1","1,483.8","1,461.5","1,661.2","1,870.1","1,655.7","1,495.3","1,494.0","1,777.9","2,079.0","1,878.7","1,911.9","1,944.7","1,894.8","2,062.5","2,194.6","2,271.9","1,967.6","2,192.2","2,841.6","2,785.1","2,525.1","2,816.7","4,148.2","5,215.8","6,118.4","6,272.0","7,549.4","5,487.2","6,320.1","7,829.0","7,577.2","6,957.4","6,875.7","5,552.3","4,559.7","4,998.9","5,794.7","5,651.2","4,675.7","6,539.2","9,569.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"1,406.2","1,523.0","1,712.9","2,010.7","2,759.3","3,088.1","3,537.0","4,263.2","4,508.0","5,466.9","6,643.2","7,585.9","7,522.3","7,112.4","7,486.3","7,190.3","6,594.1","6,976.6","7,108.4","7,700.3","8,192.7","8,229.3","8,344.1","8,687.4","8,849.5","9,215.8","9,782.0","9,821.0","9,584.4","10,120.4","12,038.9","11,697.8","11,671.5","12,686.9","15,099.3","18,088.3","20,165.3","21,315.1","24,410.3","18,497.3","21,629.4","24,444.2","24,117.9","23,972.2","24,079.7","19,990.1","19,230.7","20,437.2","21,939.2","21,298.2","18,584.3","24,270.8","30,999.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,801.1,859.5,949.6,"1,130.5","1,499.6","1,731.5","2,035.6","2,429.3","2,501.3","2,837.2","3,805.5","4,120.1","4,177.4","4,117.1","4,092.4","4,133.4","3,754.6","3,774.9","4,000.8","4,347.5","4,678.4","4,688.0","4,735.8","5,070.9","5,123.3","5,249.6","5,717.2","5,884.5","5,458.8","5,811.7","7,188.4","7,323.7","6,974.5","7,534.0","8,491.9","10,416.1","11,450.5","12,200.2","14,387.8","10,567.4","12,309.0","14,194.2","13,724.9","14,004.7","13,916.4","11,171.9","10,293.6","11,279.9","12,444.1","12,052.8","10,365.9","13,571.7","17,391.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,743.1,819.6,944.5,"1,137.0","1,499.9","1,794.7","2,016.3","2,416.3","2,674.4","3,370.8","4,169.1","4,691.3","4,802.5","4,775.9","5,114.6","5,459.7","5,118.3","5,453.1","5,638.7","6,046.3","6,526.6","6,470.8","6,933.4","7,381.3","7,570.0","7,699.5","8,491.8","8,586.4","8,399.8","9,030.6","10,624.8","10,673.9","10,461.4","11,922.7","13,848.2","16,665.8","18,868.5","20,137.4","22,394.7","17,469.9","20,320.2","23,656.7","23,910.3","23,907.4","23,613.1","20,744.5","19,582.8","21,227.4","23,685.3","23,599.4","20,350.7","25,503.7","32,960.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"7,000.0","7,694.8","8,181.7","9,343.8","12,762.0","14,926.2","16,632.8","19,230.7","20,990.1","26,469.8","35,906.1","40,301.6","40,822.2","37,732.7","40,450.1","41,591.8","35,665.2","37,972.8","39,918.3","43,799.1","48,508.1","47,630.6","49,648.2","48,583.9","50,205.3","50,922.5","52,655.0","55,289.6","51,915.9","55,921.0","68,282.0","73,085.8","69,633.5","78,234.1","89,950.2","103,574.2","115,739.4","121,101.0","134,480.1","104,556.9","116,275.5","133,412.9","134,569.5","135,749.7","136,011.3","120,161.5","111,267.0","123,403.7","137,538.8","139,467.0","114,661.5","150,872.0","200,007.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,865.0,962.4,"1,047.6","1,229.4","1,592.7","1,833.7","2,048.7","2,304.2","2,544.5","3,199.1","4,164.4","4,696.8","5,080.0","4,934.0","5,091.4","5,167.9","4,469.8","4,587.4","4,641.2","4,879.7","5,276.9","5,376.2","5,476.5","5,842.3","6,034.4","6,229.3","6,687.5","6,665.3","6,476.2","6,982.7","8,661.1","9,970.1","8,786.2","9,909.9","11,807.9","14,654.8","16,309.6","17,030.5","19,560.4","14,673.9","17,068.6","19,453.3","19,424.3","19,887.4","20,433.4","16,387.9","15,099.7","16,561.6","18,682.0","18,748.8","15,426.3","20,623.2","28,371.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"1,174.9","1,262.5","1,387.9","1,580.3","2,242.5","2,370.4","2,586.0","2,814.2","2,961.7","3,788.1","4,698.2","5,454.6","5,496.3","5,302.3","5,582.0","5,631.7","5,033.9","5,203.8","5,608.4","6,055.9","6,246.1","6,312.4","6,608.0","6,598.0","6,662.4","6,679.4","7,223.0","7,214.6","6,585.7","7,024.4","7,992.6","7,949.7","7,578.8","9,224.7","10,599.9","12,423.7","13,711.2","15,146.3","16,223.9","13,357.5","14,328.9","15,619.5","15,196.6","15,331.3","15,590.2","13,126.3","11,750.0","12,575.8","14,218.6","13,581.1","11,537.0","13,701.1","18,123.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,277.4,302.8,305.8,342.8,465.8,500.5,521.7,574.6,614.0,662.1,816.1,901.9,"1,043.6","1,082.8","1,137.4","1,144.6","1,095.2","1,053.1","1,054.0","1,072.7","1,081.4","1,120.5","1,164.1","1,244.1","1,265.2","1,277.4","1,351.8","1,344.4","1,277.3","1,314.1","1,504.1","1,519.1","1,485.8","1,578.6","1,714.9","2,013.0","2,161.3","2,371.5","2,493.0","2,342.6","2,487.1","2,443.3","2,208.0","2,218.3","2,325.7","2,144.8","1,983.6","1,968.0","2,148.3","2,119.3","1,764.9","2,109.2","2,574.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,263.1,292.4,328.8,379.8,535.2,584.9,627.8,712.2,747.3,992.6,"1,279.8","1,247.9","1,185.0","1,217.0","1,341.6","1,361.1","1,127.5","1,174.1","1,236.0","1,312.8","1,413.2","1,411.2","1,379.8","1,478.2","1,489.0","1,513.3","1,646.2","1,655.8","1,566.3","1,695.3","1,932.2","1,958.6","2,013.3","2,200.2","2,439.8","2,937.2","3,421.5","3,646.3","4,129.6","3,563.7","3,841.6","4,279.0","4,248.7","3,975.1","3,994.0","3,485.9","3,187.2","3,456.0","3,901.1","3,795.2","3,112.6","3,847.9","4,816.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"2,610.2","2,833.4","3,220.5","3,874.8","5,217.7","5,998.0","6,616.6","7,493.2","8,428.8","10,863.2","14,765.4","17,677.7","16,772.8","16,418.8","17,373.2","18,560.4","16,376.2","17,119.6","17,934.8","19,075.5","20,975.9","20,445.2","20,383.9","21,152.9","21,653.0","22,895.4","24,652.6","24,948.5","23,941.2","25,015.8","30,216.1","31,485.3","30,945.9","34,861.4","41,130.8","49,999.0","58,757.6","60,500.0","67,432.2","54,481.6","60,734.6","68,671.7","67,903.9","67,935.3","68,555.7","57,721.4","53,453.2","58,833.2","65,005.7","62,743.2","51,539.2","66,696.0","89,282.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
