"U.S. total energy consumption by energy end-use sector, 1950-2023",,,,
quadrillion British thermal units,,,,
"Data source: U.S. Energy Information Administration, <em>Monthly Energy Review</em>, Table 2.1, April 2024, preliminary data for 2023",,,,
Note: Total energy consumption includes primary energy and electrical energy; electrical energy includes electric system energy losses.,,,,
An interactive area flow chart showing historical U.S. annual total energy consumption by energy end-use sector in 1950 through 2023.,,,,
,industrial,transportation,residential,commercial
1950,15.659,8.469,5.736,3.663
1951,17.097,9.02,6.124,3.645
1952,16.726,8.984,6.286,3.638
1953,17.646,9.107,6.297,3.552
1954,16.63,8.89,6.589,3.526
1955,18.938,9.539,7.036,3.702
1956,19.637,9.85,7.405,3.823
1957,19.631,9.888,7.43,3.744
1958,18.735,9.996,7.891,3.886
1959,19.757,10.342,8.115,4.142
1960,20.264,10.591,8.726,4.362
1961,20.369,10.765,8.959,4.472
1962,21.154,11.215,9.422,4.754
1963,22.14,11.65,9.636,4.967
1964,23.464,11.993,9.862,5.165
1965,24.399,12.428,10.223,5.514
1966,25.722,13.097,10.751,5.992
1967,25.893,13.748,11.158,6.515
1968,27.171,14.862,11.843,6.944
1969,28.312,15.502,12.597,7.397
1970,28.862,16.094,13.178,7.902
1971,28.783,16.726,13.606,8.237
1972,30.111,17.714,14.213,8.69
1973,31.802,18.609,14.252,9.047
1974,30.874,18.117,13.932,8.843
1975,28.522,18.241,14.1,8.924
1976,30.521,19.098,14.757,9.533
1977,31.564,19.819,15.141,9.793
1978,31.832,20.614,15.475,9.993
1979,33.054,20.469,15.164,10.132
1980,31.209,19.694,15.082,10.055
1981,29.919,19.511,14.631,10.095
1982,26.749,19.086,14.758,10.215
1983,26.482,19.173,14.586,10.245
1984,28.64,19.651,15.171,10.773
1985,28,20.084,15.344,10.845
1986,27.461,20.785,15.243,10.967
1987,28.673,21.466,15.632,11.393
1988,30.045,22.315,16.575,12.088
1989,30.561,22.475,17.103,12.58
1990,30.978,22.415,16.206,12.65
1991,30.588,22.114,16.678,12.835
1992,31.836,22.412,16.723,12.866
1993,31.839,22.667,17.498,13.181
1994,32.773,23.315,17.462,13.509
1995,33.125,23.808,17.747,13.985
1996,33.967,24.415,18.634,14.384
1997,34.268,24.719,18.104,14.861
1998,34.009,25.221,18.163,15.213
1999,33.932,25.912,18.766,15.616
2000,33.945,26.512,19.732,16.504
2001,32.154,26.239,19.463,16.566
2002,32.012,26.805,20.08,16.673
2003,31.881,26.877,20.39,16.66
2004,32.864,27.822,20.373,16.979
2005,31.803,28.257,20.879,17.163
2006,31.71,28.693,19.884,16.949
2007,31.773,28.811,20.811,17.571
2008,30.685,27.417,20.894,17.651
2009,27.782,26.587,20.208,17.049
2010,29.958,26.97,20.987,17.219
2011,30.123,26.598,20.286,16.952
2012,30.23,26.127,18.871,16.446
2013,30.762,26.614,19.983,16.897
2014,30.921,26.875,20.338,17.195
2015,30.613,27.253,19.52,17.097
2016,30.52,27.81,18.929,16.838
2017,30.843,28.047,18.471,16.54
2018,31.813,28.504,20.023,17.072
2019,31.716,28.669,19.575,16.638
2020,30.288,24.45,18.795,15.322
2021,31.394,27.07,18.991,15.914
2022,31.088,27.635,19.496,16.574
2023,31.086,27.993,18.43,16.085
