"Total energy consumption in the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"27,139","31,895","34,182","32,387","32,246","34,379","36,233","43,862","47,177","56,517","76,386","85,018","83,425","71,354","76,803","79,665","89,123","94,045","97,936","85,842","89,804","101,238","102,239","115,944","142,997","153,931","150,698","133,896","150,456","173,382","168,892","156,413","151,927","154,297","157,266","173,607","167,528","188,588","192,174","207,434","219,733","205,464","209,351","219,252","265,820","263,684","265,654","249,874","214,855","189,767","193,249","184,846","167,930","151,924","155,044","162,890","153,538","155,837","163,765","164,472","164,690","194,224","189,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"176,015","172,023","179,802","189,395","190,545","200,727","206,854","216,031","242,554","255,625","268,489","281,247","300,827","327,548","350,726","363,127","373,155","395,543","405,416","353,042","349,881","342,116","333,176","324,451","337,698","334,813","349,194","374,883","377,985","401,324","397,799","406,124","417,482","413,632","431,784","454,692","444,370","439,699","447,984","453,914","472,549","445,444","472,526","458,056","493,167","489,519","496,081","499,523","467,593","459,056","478,219","478,194","472,026","466,384","465,321","480,839","504,600","498,742","488,616","500,869","498,155","555,739","551,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"104,652","114,214","116,715","123,586","130,214","129,593","136,348","139,183","153,822","159,784","166,549","173,379","193,085","209,852","210,118","209,528","216,054","222,603","229,577","200,014","204,275","208,967","208,325","195,411","207,483","203,444","207,724","216,907","226,684","233,710","228,101","229,427","227,667","238,191","255,166","260,424","265,553","273,172","275,696","293,044","293,838","277,440","285,354","285,259","288,208","288,737","288,760","292,703","285,202","285,162","290,132","287,139","277,920","276,357","280,162","277,002","283,534","285,164","286,207","288,905","271,199","285,140","283,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"116,689","121,239","129,736","136,740","143,720","139,441","148,689","159,735","183,623","192,910","194,132","204,293","225,168","243,872","233,258","230,139","235,052","253,262","267,033","274,217","265,931","269,191","261,440","263,390","279,869","293,447","299,713","312,326","322,840","322,219","325,563","332,408","336,940","352,581","366,258","372,801","394,105","394,605","424,601","447,923","459,904","475,183","485,241","500,087","510,232","532,787","549,475","541,658","505,233","476,281","516,379","513,046","502,608","510,916","516,873","527,003","540,077","543,370","554,196","570,116","508,175","566,304","567,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,224,346","1,292,619","1,316,703","1,354,162","1,421,143","1,491,398","1,592,651","1,654,310","1,779,248","1,829,801","1,832,625","1,909,060","1,931,989","1,986,920","1,899,445","1,955,579","2,065,224","2,206,812","2,372,880","2,354,257","2,363,647","2,345,627","2,230,627","2,253,678","2,373,702","2,364,263","2,447,259","2,578,275","2,730,003","2,816,883","2,834,042","2,690,888","2,680,672","2,629,975","2,752,103","2,816,214","2,865,202","2,798,951","2,806,838","2,868,690","3,016,982","2,966,568","3,129,911","3,040,202","3,192,744","3,278,918","3,327,187","3,354,395","3,144,121","3,062,046","2,933,005","2,827,130","2,772,317","2,776,075","2,797,531","2,864,614","2,969,567","3,047,602","3,060,923","3,059,593","2,355,076","2,802,027","2,915,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"104,450","114,878","122,860","129,258","133,723","138,618","147,575","154,378","172,368","182,623","195,193","206,248","224,073","234,426","231,020","237,340","250,996","262,260","279,228","269,764","251,120","249,246","259,137","255,521","266,929","277,566","278,417","281,120","272,773","266,101","271,483","273,879","278,016","303,181","308,186","319,504","328,226","326,348","340,750","361,724","366,110","386,387","383,283","378,045","416,502","423,023","432,152","441,952","425,009","414,312","421,140","414,017","410,798","411,902","424,096","421,520","430,271","434,622","449,455","460,396","378,289","433,399","501,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"116,898","125,496","130,768","134,750","137,397","140,533","150,121","155,282","168,490","174,636","182,566","184,357","194,609","201,251","198,339","196,470","201,295","204,071","205,676","194,654","185,174","181,361","186,080","187,348","195,062","196,759","200,195","209,097","216,609","218,201","205,529","204,102","205,609","206,060","205,590","201,738","213,178","213,989","216,761","235,201","227,972","237,677","236,682","248,562","284,542","262,536","256,709","257,264","242,761","239,040","239,152","234,668","228,711","225,141","225,363","227,206","229,164","232,142","237,401","233,299","197,018","214,760","225,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"28,772","29,535","29,525","29,602","31,091","33,820","33,780","32,459","32,904","32,675","32,848","33,280","33,608","38,665","39,736","37,069","38,014","37,622","35,130","30,224","27,291","29,213","37,666","28,944","28,083","28,088","30,293","28,582","29,736","29,175","27,384","27,379","27,703","28,088","27,332","27,134","26,155","26,629","25,977","26,574","27,806","25,901","24,567","25,311","26,882","23,382","21,353","21,131","18,640","19,531","19,040","20,968","18,857","19,175","20,635","20,035","20,944","18,091","19,940","21,500","16,434","17,803","17,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"43,735","44,020","41,960","42,957","43,653","43,432","44,193","45,334","51,755","52,631","50,326","50,851","53,261","56,942","56,886","55,048","57,596","56,927","54,928","52,434","53,979","51,388","49,564","55,479","57,524","56,930","60,237","65,275","64,373","65,685","62,955","70,337","65,057","67,786","63,155","59,981","66,267","64,816","65,432","67,935","70,445","65,428","68,665","67,453","68,851","72,656","74,414","74,852","71,202","68,879","80,359","73,594","72,385","68,339","69,050","72,583","75,691","79,715","83,677","86,782","73,041","79,915","77,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"348,001","358,850","407,087","415,833","432,389","456,712","473,137","495,399","548,917","582,377","608,352","641,555","706,248","772,004","738,593","747,689","777,288","833,098","876,871","932,217","950,588","955,122","937,880","941,159","926,838","957,694","1,008,810","1,066,887","1,129,005","1,139,558","1,137,417","1,077,903","1,113,433","1,100,341","1,179,538","1,211,336","1,221,298","1,264,799","1,284,395","1,325,489","1,404,072","1,383,848","1,415,511","1,398,517","1,546,539","1,590,005","1,622,057","1,596,517","1,496,000","1,418,416","1,555,767","1,532,074","1,510,229","1,535,361","1,553,920","1,611,692","1,648,177","1,687,035","1,770,784","1,744,411","1,418,661","1,674,218","1,738,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
