"Total energy expenditures in the transportation sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,81.8,95.8,102.7,114.5,196.3,243.3,298.5,336.8,365.4,429.4,655.9,884.7,876.1,893.5,"1,023.9","1,082.2",790.4,699.9,814.7,"1,064.7","1,264.5","1,032.8","1,029.9","1,041.0","1,014.4","1,170.9","1,213.2","1,308.4","1,057.2","1,208.0","1,833.9","1,597.2","1,514.0","1,809.0","2,943.0","3,822.1","4,442.3","4,490.7","5,397.9","3,351.2","3,966.9","4,933.1","4,580.2","4,097.0","4,026.2","2,876.8","2,272.0","2,671.7","3,486.3","3,361.5","2,447.8","3,884.5","6,165.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,608.4,651.9,724.8,824.6,"1,184.7","1,268.0","1,462.5","1,656.5","1,747.2","2,133.1","2,923.8","3,318.9","3,077.9","2,636.1","2,710.1","2,702.2","2,262.7","2,513.4","2,512.3","2,888.4","3,228.3","3,128.7","3,201.3","3,211.8","3,335.0","3,553.4","3,708.0","3,705.7","3,306.1","3,600.4","4,812.0","4,386.3","4,401.5","4,862.2","6,419.7","8,205.8","9,275.1","10,119.5","11,729.5","7,856.4","9,797.2","12,420.9","12,431.8","12,091.0","11,611.4","8,427.5","7,804.7","8,726.2","9,582.3","9,264.2","7,541.3","11,775.5","15,829.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,363.9,399.0,430.7,495.3,708.8,800.2,883.9,985.3,"1,043.6","1,198.0","1,756.4","2,037.8","1,917.6","1,579.3","1,607.8","1,608.9","1,342.7","1,491.9","1,501.6","1,659.6","1,892.5","1,876.9","1,858.7","1,919.6","2,020.5","2,081.3","2,295.4","2,330.4","2,035.8","2,263.0","3,050.3","2,836.9","2,826.5","3,167.5","3,836.4","4,849.6","5,402.5","6,104.2","7,213.5","4,889.4","6,116.8","7,658.4","7,569.2","7,326.5","7,109.1","4,996.7","4,517.2","5,173.4","5,884.7","5,565.5","4,312.6","6,300.3","8,669.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,370.9,402.5,447.2,537.1,722.6,833.4,909.0,"1,053.5","1,182.7","1,559.8","2,141.9","2,425.8","2,308.6","2,090.4","2,206.6","2,304.1","1,932.9","2,140.6","2,070.2","2,325.2","2,615.1","2,471.8","2,654.2","2,983.5","3,015.7","3,151.7","3,686.9","3,653.9","3,333.1","3,841.3","5,020.8","4,875.1","4,651.1","5,937.0","7,301.4","9,364.1","10,617.3","11,158.5","12,381.0","8,210.9","10,747.7","13,427.5","13,775.2","13,511.1","13,176.5","10,325.7","9,282.7","10,564.1","12,581.8","12,777.2","9,579.1","13,877.2","19,462.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"3,750.4","4,021.1","4,125.9","4,756.6","6,864.2","7,763.2","8,536.2","9,583.1","10,524.5","14,093.9","19,290.7","22,095.2","20,691.5","17,977.0","18,415.9","18,035.1","14,210.9","15,275.3","16,250.1","18,271.4","21,001.8","18,831.2","20,628.7","20,134.6","20,398.2","21,089.7","23,501.7","24,081.5","20,898.7","25,300.4","32,704.6","30,999.6","30,110.3","35,608.9","45,047.7","55,091.1","63,389.8","68,675.4","79,138.9","55,390.8","65,697.7","80,411.9","82,786.1","80,373.0","77,815.9","62,961.8","55,461.8","63,876.0","76,089.3","76,838.2","51,024.2","78,564.7","113,550.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,419.9,477.8,502.1,588.4,808.8,927.9,"1,023.5","1,140.2","1,230.4","1,627.7","2,131.9","2,359.5","2,383.3","2,082.5","2,152.0","2,282.2","1,739.0","1,911.8","1,831.5","1,972.1","2,317.7","2,284.6","2,358.2","2,567.0","2,650.9","2,741.6","3,047.9","3,031.3","2,723.7","3,139.9","4,117.1","4,284.8","3,909.1","4,365.8","5,536.1","7,093.1","8,249.8","9,246.8","10,563.9","6,992.9","8,570.3","10,816.2","11,093.7","10,955.5","11,006.8","7,639.2","6,837.6","7,905.2","9,415.9","9,199.1","6,582.0","10,336.2","15,743.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,479.8,504.3,526.3,592.5,798.7,844.8,902.5,982.2,"1,037.4","1,344.0","1,793.8","2,008.3","1,866.9","1,758.4","1,769.1","1,824.4","1,483.4","1,609.9","1,839.0","1,942.0","2,011.0","1,979.0","1,996.3","1,993.7","2,017.9","2,083.1","2,336.9","2,361.4","2,053.4","2,375.0","2,828.7","2,750.2","2,581.2","3,093.7","4,187.1","4,701.2","5,297.5","5,690.3","6,444.7","4,545.9","5,409.1","6,817.9","6,896.7","6,676.5","6,432.7","4,616.5","4,131.9","4,649.4","5,381.5","4,992.8","3,566.8","5,123.9","7,615.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,89.9,92.8,94.7,108.0,158.0,164.0,171.2,179.5,173.4,200.4,250.3,294.4,317.5,258.5,260.3,266.1,229.3,223.9,245.1,259.5,268.2,255.5,266.9,272.9,269.7,270.6,277.5,277.7,244.2,259.3,320.0,291.0,264.2,296.3,359.5,378.6,408.0,432.3,456.2,335.7,383.6,487.7,459.6,450.0,482.5,359.9,343.6,324.7,397.7,398.8,286.3,399.6,505.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,107.0,114.4,119.9,135.5,188.8,206.0,219.4,233.8,236.8,318.0,453.7,503.3,457.4,488.5,485.4,500.0,388.0,427.4,449.1,506.4,565.1,550.1,514.2,525.3,524.1,542.9,594.0,583.5,515.9,574.8,770.7,676.9,685.6,782.0,950.7,"1,227.5","1,444.8","1,537.9","1,780.0","1,239.1","1,688.7","2,021.3","2,034.9","1,894.4","1,850.1","1,398.0","1,293.7","1,558.2","1,840.9","1,813.5","1,294.4","1,859.4","2,502.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"1,321.5","1,393.2","1,593.0","1,890.6","2,551.4","2,825.4","3,060.6","3,427.5","3,956.1","5,551.6","7,939.6","9,264.4","8,733.1","7,818.7","7,613.6","7,812.9","6,162.3","6,842.3","7,081.8","7,734.6","9,038.6","8,233.8","8,286.8","8,212.0","8,749.2","9,238.3","10,128.7","10,379.0","8,955.6","10,210.2","14,092.2","13,195.3","13,084.4","15,090.2","19,789.5","25,964.0","30,035.0","32,069.7","37,605.3","24,595.2","31,378.0","39,802.5","40,268.0","40,469.4","39,263.7","28,380.4","25,736.3","29,775.4","35,105.9","32,623.6","22,869.1","35,356.8","50,730.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
